Weedle,13,13,0,Bug,Poison,Bug,Bug,Shield Dust,Run Away,Poison Point,40,35,30,20,20,50,1,String Shot,1,Poison Sting,1,Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakuna,14,14,0,Bug,Poison,Bug,Bug,Shed Skin,Shed Skin,Shed Skin,45,25,50,25,25,35,7,Harden,7,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,15,15,0,Bug,Poison,Bug,Bug,Adaptability,Sniper,Poison Touch,65,115,40,40,95,95,1,Twineedle,10,Fury Attack,1,Harden,1,String Shot,1,Poison Sting,1,Bug Bite,11,Fury Cutter,14,Laser Focus,15,Toxic Spikes,17,Pin Missile,21,Focus Energy,23,Venoshock,23,Poison Jab,25,Assurance,28,X-Scissor,31,Cross Poison,34,Drill Peck,34,Drill Run,37,Agility,40,Endeavor,43,Outrage,44,Fell Stinger,45,Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Hyper Beam,Protect,Giga Drain,Solar Beam,Brick Break,Double Team,Sludge Bomb,Aerial Ace,Attract,Thief,Roost,False Swipe,Bug Buzz,Payback,Giga Impact,Flash,Swords Dance,X-Scissor,Poison Jab,U-turn,Cut,Fly,Defog,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Electroweb,Laser Focus,Fury Cutter,Ominous Wind,Iron Defense,Tailwind,Swift,Drill Run,Knock Off,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey,16,16,0,Normal,Flying,Flying,Flying,Keen Eye,Tangled Feet,Big Pecks,40,35,35,50,35,56,1,Tackle,1,Sand Attack,1,Gust,6,Quick Attack,9,Wing Attack,12,Swift,15,Air Cutter,18,Feather Dance,21,Uproar,21,Twister,24,Air Slash,27,Agility,27,Razor Wind,30,Roost,34,Whirlwind,38,Tailwind,42,Hurricane,45,Aerial Ace,45,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Protect,Rain Dance,Double Team,Aerial Ace,Rest,Attract,Thief,Steel Wing,Roost,Endure,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Cutter,Air Slash,Brave Bird,Uproar,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Dual Wingbeat,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Heat Wave,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeotto,17,17,0,Normal,Flying,Flying,Flying,Keen Eye,Tangled Feet,Big Pecks,63,50,50,65,50,71,1,Gust,1,Sand Attack,1,Tackle,6,Quick Attack,9,Wing Attack,12,Swift,15,Air Cutter,19,Feather Dance,22,Twister,23,Uproar,27,Air Slash,31,Agility,31,Razor Wind,35,Roost,39,Whirlwind,43,Tailwind,47,Hurricane,52,Aerial Ace,55,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Protect,Rain Dance,Double Team,Aerial Ace,Rest,Attract,Thief,Steel Wing,Roost,Endure,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Cutter,Air Slash,Brave Bird,Uproar,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Dual Wingbeat,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Heat Wave,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,18,18,0,Normal,Flying,Flying,Flying,No Guard,Tangled Feet,Big Pecks,83,60,70,115,70,101,6,Quick Attack,1,Gust,1,Sand Attack,1,Tackle,1,Heat Wave,9,Wing Attack,12,Swift,15,Air Cutter,19,Feather Dance,22,Twister,23,Uproar,27,Air Slash,31,Agility,31,Razor Wind,35,Roost,40,Whirlwind,42,Double-Edge,45,Tailwind,50,Hurricane,55,Aerial Ace,60,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Hyper Beam,Protect,Rain Dance,Double Team,Aerial Ace,Rest,Attract,Thief,Steel Wing,Roost,Endure,Giga Impact,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Cutter,Air Slash,Brave Bird,Uproar,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Dual Wingbeat,Laser Focus,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Heat Wave,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,19,19,0,Normal,,Field,Field,Hustle,Guts,Technician,30,56,35,25,35,72,1,Tail Whip,1,Tackle,1,Quick Attack,7,Bite,10,Focus Energy,13,Laser Focus,16,Take Down,16,Hyper Fang,19,Assurance,22,Super Fang,25,Crunch,28,Sucker Punch,31,Flame Wheel,34,Double-Edge,37,Reversal,40,Endeavor,43,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Taunt,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Sludge Bomb,Aerial Ace,Facade,Attract,Thief,False Swipe,Wild Charge,Thunder Wave,Grass Knot,U-turn,Cut,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screech,Flame Wheel,Fury Swipes,Bite,Counter,Reversal,Uproar,Last Resort,Revenge,Final Gambit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Mud-Slap,Uproar,Zen Headbutt,Swift,Icy Wind,Sucker Punch,Last Resort,Endeavor,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,20,20,0,Normal,,Field,Field,Hustle,Guts,Technician,55,97,70,45,70,113,20,Scary Face,1,Swords Dance,1,Quick Attack,1,Tail Whip,1,Tackle,1,Counter,7,Bite,10,Focus Energy,13,Laser Focus,16,Dizzy Punch,16,Take Down,19,Assurance,23,Super Fang,27,Crunch,31,Sucker Punch,35,Flame Wheel,39,Double-Edge,43,Reversal,47,Endeavor,51,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Hidden Power,Sunny Day,Taunt,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Sludge Bomb,Aerial Ace,Facade,Attract,Thief,False Swipe,Wild Charge,Giga Impact,Thunder Wave,Swords Dance,Grass Knot,U-turn,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screech,Flame Wheel,Fury Swipes,Bite,Counter,Reversal,Uproar,Last Resort,Revenge,Final Gambit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Mud-Slap,Uproar,Stomping Tantrum,Zen Headbutt,Swift,Icy Wind,Sucker Punch,Last Resort,Endeavor,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearow,21,21,0,Normal,Flying,Flying,Flying,Keen Eye,Sniper,Intimidate,40,60,30,31,31,70,1,Growl,1,Peck,1,Leer,8,Fury Attack,11,Aerial Ace,15,Wing Attack,18,Facade,22,Assurance,22,Take Down,25,Drill Peck,28,Agility,31,Drill Run,34,Focus Energy,37,Roost,40,Tailwind,43,Double-Edge,46,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Protect,Rain Dance,Double Team,Aerial Ace,Attract,Thief,Steel Wing,Roost,False Swipe,Endure,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scary Face,Quick Attack,Tri Attack,Astonish,Sky Attack,Whirlwind,Uproar,Feather Dance,Razor Wind,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Dual Wingbeat,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Drill Run,Heat Wave,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearow,22,22,0,Normal,Flying,Flying,Flying,Keen Eye,Sniper,Intimidate,65,110,65,61,61,100,1,Leer,1,Growl,1,Peck,1,Pluck,10,Fury Attack,11,Aerial Ace,15,Wing Attack,18,Facade,23,Assurance,23,Take Down,27,Drill Peck,31,Agility,35,Drill Run,39,Focus Energy,43,Roost,47,Tailwind,51,Double-Edge,55,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Hyper Beam,Protect,Rain Dance,Double Team,Aerial Ace,Attract,Thief,Steel Wing,Roost,False Swipe,Endure,Giga Impact,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scary Face,Quick Attack,Tri Attack,Astonish,Sky Attack,Whirlwind,Uproar,Feather Dance,Razor Wind,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Dual Wingbeat,Laser Focus,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Drill Run,Heat Wave,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekans,23,23,0,Poison,,Field,Dragon,Intimidate,Shed Skin,Merciless,35,60,44,40,54,55,1,Leer,1,Wrap,4,Poison Sting,7,Bite,10,Acid,13,Glare,16,Poison Fang,22,Screech,25,Spit Up,25,Swallow,25,Stockpile,28,Poison Tail,28,Acid Spray,31,Leech Life,33,Sludge Bomb,33,Mud Bomb,34,Haze,37,Sucker Punch,38,Belch,40,Gunk Shot,44,Coil,48,Gastro Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Protect,Rain Dance,Giga Drain,Iron Tail,Earthquake,Dig,Double Team,Sludge Bomb,Rock Tomb,Torment,Attract,Thief,Payback,Dark Pulse,Rock Slide,Hyper Voice,Poison Jab,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slam,Spite,Beat Up,Poison Fang,Scary Face,Poison Tail,Disable,Switcheroo,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Bulldoze,Spite,Gastro Acid,Seed Bomb,Aqua Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbok,24,24,0,Poison,,Field,Dragon,Intimidate,Shed Skin,Merciless,60,110,70,55,80,80,22,Crunch,1,Leer,1,Wrap,1,Fire Fang,1,Thunder Fang,1,Ice Fang,4,Poison Sting,7,Bite,10,Acid,13,Glare,16,Poison Fang,23,Screech,27,Spit Up,27,Swallow,27,Stockpile,31,Poison Tail,32,Acid Spray,35,Leech Life,39,Sludge Bomb,39,Mud Bomb,39,Haze,43,Sucker Punch,47,Gunk Shot,48,Belch,56,Coil,60,Gastro Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Hyper Beam,Protect,Rain Dance,Giga Drain,Iron Tail,Earthquake,Dig,Double Team,Sludge Bomb,Rock Tomb,Torment,Attract,Thief,Payback,Giga Impact,Dark Pulse,Rock Slide,Hyper Voice,Poison Jab,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slam,Spite,Beat Up,Poison Fang,Scary Face,Poison Tail,Disable,Switcheroo,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Bulldoze,Spite,Stomping Tantrum,Gastro Acid,Seed Bomb,Aqua Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,25,25,0,Electric,,Field,Fairy,Static,Lightning Rod,Galvanize,35,55,40,50,50,90,1,Growl,1,Tail Whip,1,Thunder Shock,1,Charm,1,Nuzzle,1,Sweet Kiss,1,Play Nice,4,Quick Attack,7,Thunder Wave,11,Double Kick,12,Electro Ball,13,Shock Wave,16,Feint,19,Spark,21,Double Team,23,Slam,26,Thunderbolt,29,Agility,31,Discharge,33,Wild Charge,36,Light Screen,39,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Light Screen,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Brick Break,Double Team,Reflect,Shock Wave,Facade,Volt Switch,Rest,Attract,Thief,Fling,Wild Charge,Nasty Plot,Flash,Thunder Wave,Grass Knot,Surf,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,Wish,Charge,Fake Out,Tickle,Flail,Disarming Voice,Reversal,Encore,Thunder Punch,Electric Terrain,Double Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Rollout,Electroweb,Mud-Slap,Laser Focus,Signal Beam,Ice Punch,Thunder Punch,Magnet Rise,Seismic Toss,Swift,Knock Off,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu,26,26,0,Electric,,Field,Fairy,Static,Lightning Rod,Galvanize,60,95,55,95,80,110,1,Thunder Punch,1,Growl,1,Tail Whip,1,Thunder Shock,1,Charm,1,Nuzzle,1,Sweet Kiss,1,Play Nice,5,Quick Attack,10,Thunder Wave,15,Double Kick,20,Electro Ball,25,Shock Wave,25,Fake Out,30,Feint,35,Spark,40,Double Team,45,Slam,50,Thunderbolt,55,Teeter Dance,55,Agility,60,Discharge,65,Wild Charge,70,Light Screen,75,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Iron Tail,Thunderbolt,Thunder,Dig,Psychic,Brick Break,Double Team,Reflect,Shock Wave,Facade,Volt Switch,Rest,Attract,Thief,Focus Blast,Fling,Wild Charge,Nasty Plot,Giga Impact,Flash,Thunder Wave,Grass Knot,Surf,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,Wish,Charge,Fake Out,Tickle,Flail,Disarming Voice,Reversal,Encore,Thunder Punch,Electric Terrain,Double Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Rollout,Electroweb,Mud-Slap,Laser Focus,Signal Beam,Ice Punch,Thunder Punch,Magnet Rise,Seismic Toss,Swift,Knock Off,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,27,27,0,Ground,,Field,Field,Sand Veil,Sand Force,Sand Rush,50,75,85,20,30,40,1,Defense Curl,1,Scratch,1,Sand Attack,1,Poison Sting,7,Rollout,9,Bulldoze,11,Rapid Spin,13,Fury Cutter,14,Magnitude,15,Swift,21,Fury Swipes,24,Slash,24,Night Slash,27,Dig,27,Agility,30,Gyro Ball,33,Poison Jab,36,Earthquake,39,Swords Dance,42,Sandstorm,45,Fissure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Hidden Power,Sunny Day,Protect,Safeguard,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Sandstorm,Rock Tomb,Aerial Ace,Attract,Thief,False Swipe,Fling,Shadow Claw,Gyro Ball,Swords Dance,Stealth Rock,Rock Slide,X-Scissor,Hyper Voice,Poison Jab,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,Flail,Mud-Slap,Night Slash,Metal Claw,Hone Claws,Rapid Spin,Crush Claw,Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Bulldoze,Rollout,Mud-Slap,Fury Cutter,Stomping Tantrum,Seismic Toss,Swift,Scorching Sands,Leech Life,Knock Off,Super Fang,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,28,28,0,Ground,,Field,Field,Sand Veil,Sand Force,Sand Rush,75,100,110,45,55,65,1,Agility,1,Sand Attack,1,Poison Sting,1,Defense Curl,1,Scratch,7,Rollout,9,Bulldoze,11,Rapid Spin,13,Fury Cutter,14,Magnitude,15,Swift,21,Fury Swipes,22,Crush Claw,25,Slash,25,Night Slash,29,Dig,31,Sand Tomb,33,Gyro Ball,37,Poison Jab,41,Earthquake,45,Swords Dance,49,Sandstorm,53,Fissure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Hidden Power,Sunny Day,Hyper Beam,Protect,Safeguard,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Sandstorm,Rock Tomb,Aerial Ace,Attract,Thief,Focus Blast,False Swipe,Fling,Shadow Claw,Giga Impact,Stone Edge,Gyro Ball,Swords Dance,Stealth Rock,Rock Slide,X-Scissor,Hyper Voice,Poison Jab,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,Flail,Mud-Slap,Night Slash,Metal Claw,Hone Claws,Rapid Spin,Crush Claw,Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Bulldoze,Rollout,Mud-Slap,Spikes,Fury Cutter,Stomping Tantrum,Seismic Toss,Swift,Drill Run,Scorching Sands,Leech Life,Knock Off,Super Fang,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran-F,29,29,0,Poison,,Monster,Field,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,1,Poison Sting,1,Growl,1,Scratch,1,Tail Whip,6,Fury Swipes,9,Double Kick,12,Poison Fang,15,Bite,18,Helping Hand,21,Toxic Spikes,24,Poison Jab,27,Flatter,30,Crunch,33,Poison Tail,39,Super Fang,40,Toxic,55,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Sunny Day,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Double Team,Shock Wave,Sludge Bomb,Aerial Ace,Attract,Thief,Shadow Claw,Poison Jab,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,Disable,Poison Tail,Skull Bash,Supersonic,Take Down,Poison Fang,Focus Energy,Charm,Beat Up,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,30,30,0,Poison,,Monster,Field,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,1,Tail Whip,1,Scratch,1,Poison Sting,1,Growl,6,Fury Swipes,9,Double Kick,12,Poison Fang,15,Bite,19,Helping Hand,23,Toxic Spikes,27,Poison Jab,31,Flatter,35,Crunch,39,Poison Tail,47,Super Fang,50,Toxic,71,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Sunny Day,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Double Team,Shock Wave,Sludge Bomb,Aerial Ace,Attract,Thief,Shadow Claw,Poison Jab,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,Disable,Poison Tail,Skull Bash,Supersonic,Take Down,Poison Fang,Focus Energy,Charm,Beat Up,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Stomping Tantrum,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
